year,month,product,country,volume_kg,value_usd
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",BERMUDA,48,2903
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",CANADA,16445,117792
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",COSTA RICA,454,9250
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",ISRAEL,26262,162333
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",PHILIPPINES,1524,2850
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",ROMANIA,4310,18000
2023,01,"FISH NSPF LIVER,ROE, MILT FROZEN",SOUTH KOREA,9946,20000
2023,01,FISH NSPF MEAT FRESH,ANGUILLA,113,2630
2023,01,FISH NSPF MEAT FRESH,BAHAMAS,3881,28913
2023,01,FISH NSPF MEAT FRESH,CANADA,6088,44965
2023,01,FISH NSPF MEAT FRESH,DOMINICAN REPUBLIC,567,8312
2023,01,FISH NSPF MEAT FRESH,ST.KITTS-NEVIS,136,2619
2023,01,FISH NSPF MEAT FROZEN,CANADA,478393,1452801
2023,01,FISH NSPF MEAT FROZEN,MEXICO,83836,292541
2023,01,FISH NSPF MEAT FROZEN,SOUTH KOREA,15896,46113
2023,01,FISH NSPF MEAT FROZEN,VIETNAM,19937,86527
2023,01,FISH NSPF OTHER EDIBLE OFFAL FRESH,CANADA,717,5245
2023,01,FISH NSPF OTHER EDIBLE OFFAL FROZEN,SINGAPORE,400,3112
2023,01,FISH NSPF OTHER EDIBLE OFFAL FROZEN,SOUTH KOREA,46722,117984
2023,01,FISH NSPF OTHER EDIBLE OFFAL FROZEN,URUGUAY,181,3536
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,BAHAMAS,37216,88399
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,CANADA,496,4087
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,COLOMBIA,11806,51321
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,DOMINICAN REPUBLIC,4696,10870
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,ECUADOR,247,3276
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,GUATEMALA,37436,177825
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,MEXICO,124958,448104
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,NETHERLANDS,711,2979
2023,01,FISH NSPF PREPARED DINNERS CONTAINING SHELLFISH,VENEZUELA,1185,4400
2023,01,FISH NSPF SALTED,ARUBA,1810,8800
2023,01,FISH NSPF SALTED,BAHAMAS,6877,33273
2023,01,FISH NSPF SALTED,SINT MAARTEN,1765,9105
2023,01,FISH NSPF SALTED,ST.KITTS-NEVIS,5762,12702
2023,01,FISH NSPF SMOKED,ANTIGUA & BARBUDA,161,3229
2023,01,FISH NSPF SMOKED,BARBADOS,364,7283
2023,01,FISH NSPF SMOKED,BRITISH VIRGIN IS.,259,3109
2023,01,FISH NSPF SMOKED,CURACAO,670,13540
2023,01,FISH NSPF SMOKED,GUYANA,4531,27473
2023,01,FISH NSPF SURIMI,SPAIN,89760,341088
2023,01,"FISH,SHELLFISH JUICE FROM MEAT",BRAZIL,5443,68665
2023,01,"FISH,SHELLFISH JUICE FROM MEAT",CANADA,23587,152952
2023,01,"FISH,SHELLFISH JUICE FROM MEAT",MEXICO,21835,98913
2023,01,"FISH,SHELLFISH NSPF JUICE",CANADA,25810,68466
2023,01,"FISH,SHELLFISH NSPF JUICE",COSTA RICA,28500,93003
2023,01,"FISH,SHELLFISH NSPF JUICE",FRENCH POLYNESIA,449,6308
2023,01,"FISH,SHELLFISH NSPF JUICE",JAPAN,44344,93128
2023,01,"FISH,SHELLFISH NSPF JUICE",PARAGUAY,11733,42002
2023,01,"FLATFISH HALIBUT ATLANTIC,PACIFIC FROZEN",CANADA,154501,1029081
2023,01,"FLATFISH HALIBUT ATLANTIC,PACIFIC FROZEN",URUGUAY,172,4450
2023,01,FLATFISH HALIBUT NSPF FILLET FROZEN,CANADA,16180,222567
2023,01,"FLATFISH HALIBUT,GREENLAND TURBOT FRESH",CANADA,17433,278959
2023,01,FLATFISH NSPF FILLET FRESH,CANADA,9317,76038
2023,01,FLATFISH NSPF FILLET FRESH,UNITED KINGDOM,725,5145
2023,01,FLATFISH NSPF FILLET FROZEN,BERMUDA,4947,23400
2023,01,FLATFISH NSPF FILLET FROZEN,CANADA,907,6058
2023,01,FLATFISH NSPF FILLET FROZEN,NETHERLANDS,186,8095
2023,01,FLATFISH NSPF FROZEN,BRITISH VIRGIN IS.,594,4595
2023,01,FLATFISH NSPF FROZEN,CANADA,2775,3365
2023,01,FLATFISH NSPF FROZEN,INDIA,8247,10000
2023,01,FLATFISH NSPF FROZEN,SINT MAARTEN,10279,33065
2023,01,FLATFISH SOLE (SOLEA SPP) FRESH,CANADA,1521,24758
2023,01,FLATFISH SOLE (SOLEA SPP) FROZEN,ARUBA,327,10398
2023,01,FLATFISH SOLE (SOLEA SPP) FROZEN,AUSTRALIA,18000,117600
2023,01,FLATFISH SOLE (SOLEA SPP) FROZEN,GUADELOUPE,136,3825
2023,01,FLATFISH SOLE ROCK FROZEN,BRAZIL,45000,47125
2023,01,FLATFISH TURBOT (PSETTA MAXIMA) FRESH,CANADA,346,5317
2023,01,FRESHWATER FISH NSPF FROZEN,MEXICO,59381,130913
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,BARBADOS,405,3640
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,BERMUDA,181,2808
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,76962,424027
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,CHINA,36377,245725
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,JAPAN,4693,15407
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,63787,283460
2023,01,GROUNDFISH COD NSPF FILLET FROZEN,URUGUAY,360,2502
2023,01,GROUNDFISH COD NSPF FRESH,CANADA,30673,136360
2023,01,GROUNDFISH COD NSPF FROZEN,BAHAMAS,952,13352
2023,01,GROUNDFISH COD NSPF FROZEN,CANADA,125449,303139
2023,01,GROUNDFISH COD NSPF FROZEN,CAYMAN IS.,2704,5905
2023,01,GROUNDFISH COD NSPF FROZEN,CHINA,1950170,6775749
2023,01,GROUNDFISH COD NSPF FROZEN,ITALY,60724,140569
2023,01,GROUNDFISH COD NSPF FROZEN,JAPAN,187469,500600
2023,01,GROUNDFISH COD NSPF FROZEN,MEXICO,340,5893
2023,01,GROUNDFISH COD NSPF FROZEN,NORWAY,70250,311295
2023,01,GROUNDFISH COD NSPF FROZEN,PORTUGAL,41899,88998
2023,01,GROUNDFISH COD NSPF FROZEN,SOUTH KOREA,84158,205623
2023,01,GROUNDFISH COD NSPF FROZEN,THAILAND,13529,31317
2023,01,GROUNDFISH HADDOCK FILLET FROZEN,CANADA,1334,12876
2023,01,GROUNDFISH HADDOCK FRESH,CANADA,389,7037
2023,01,GROUNDFISH HAKE FILLET FROZEN,ITALY,224500,785750
2023,01,GROUNDFISH HAKE FRESH,CANADA,7305,28188
2023,01,"GROUNDFISH HAKE,WHITING FROZEN",EQUATORIAL GUINEA,23500,29610
2023,01,"GROUNDFISH HAKE,WHITING FROZEN",GERMANY,206863,375145
2023,01,"GROUNDFISH HAKE,WHITING FROZEN",IVORY COAST,24600,33500
2023,01,"GROUNDFISH HAKE,WHITING FROZEN",LITHUANIA,171648,320527
2023,01,"GROUNDFISH HAKE,WHITING FROZEN",UKRAINE,71820,140049
2023,01,GROUNDFISH NSPF FILLET DRIED/SALTED/BRINE,CANADA,15921,126034
2023,01,GROUNDFISH NSPF FILLET FRESH,CANADA,38863,371021
2023,01,GROUNDFISH NSPF FILLET FROZEN,CURACAO,327,2700
2023,01,GROUNDFISH NSPF FRESH,CAYMAN IS.,721,5329
2023,01,GROUNDFISH NSPF FROZEN,ARUBA,1510,12635
2023,01,GROUNDFISH NSPF MEAT FRESH,CANADA,248,4947
2023,01,GROUNDFISH NSPF MEAT FROZEN,CANADA,66378,192557
2023,01,GROUNDFISH NSPF MEAT FROZEN,ESTONIA,44900,122505
2023,01,GROUNDFISH NSPF MEAT FROZEN,JAPAN,108000,226800
2023,01,GROUNDFISH OCEAN PERCH PACIFIC FROZEN,BRITISH VIRGIN IS.,9542,17689
2023,01,GROUNDFISH OCEAN PERCH PACIFIC FROZEN,JAPAN,27675,74200
2023,01,GROUNDFISH POLLOCK ALASKA FILLET FROZEN,CANADA,76733,202577
2023,01,GROUNDFISH POLLOCK ALASKA FILLET FROZEN,GERMANY,89710,310658
2023,01,GROUNDFISH POLLOCK ALASKA FILLET FROZEN,SPAIN,20739,54864
2023,01,GROUNDFISH POLLOCK ALASKA FILLET FROZEN,TAIWAN,2649,17820
2023,01,GROUNDFISH POLLOCK ALASKA FILLET FROZEN,VIETNAM,5032,13284
2023,01,GROUNDFISH POLLOCK ALASKA FRESH,BELIZE,5241,23928
2023,01,GROUNDFISH POLLOCK ALASKA FROZEN,ARUBA,997,5610
2023,01,GROUNDFISH POLLOCK ALASKA FROZEN,CHINA,117269,211853
2023,01,GROUNDFISH POLLOCK ALASKA FROZEN,LITHUANIA,3550,6656
2023,01,GROUNDFISH POLLOCK ALASKA FROZEN,NIGERIA,25000,33750
2023,01,GROUNDFISH POLLOCK ALASKA FROZEN,SOUTH KOREA,16265,32530
2023,01,GROUNDFISH POLLOCK ALASKA MEAT FROZEN,ARUBA,495,3405
2023,01,GROUNDFISH POLLOCK ALASKA MEAT FROZEN,BAHAMAS,1608,11066
2023,01,GROUNDFISH POLLOCK ALASKA MEAT FROZEN,CANADA,3247,9419
2023,01,GROUNDFISH POLLOCK ALASKA MEAT FROZEN,DOMINICAN REPUBLIC,2782,18765
2023,01,GROUNDFISH POLLOCK ALASKA MEAT FROZEN,UNITED KINGDOM,112250,319913
2023,01,GROUNDFISH POLLOCK ALASKA SURIMI,COSTA RICA,544,4120
2023,01,GROUNDFISH POLLOCK ALASKA SURIMI,SWEDEN,29095,84084
2023,01,GROUNDFISH POLLOCK ATLANTIC FILLET FROZEN,MEXICO,15865,104436
2023,01,GROUNDFISH POLLOCK ATLANTIC FRESH,CANADA,69492,131382
2023,01,HERRING FRESH,CANADA,36695,7585
2023,01,HERRING FROZEN,BAHAMAS,6549,16191
2023,01,HERRING FROZEN,CANADA,102696,122156
2023,01,HERRING FROZEN,UNITED ARAB EMIRATES,1635,4325
2023,01,HERRING PREPARED/PRESERVED,DOMINICAN REPUBLIC,10472,46000
2023,01,HERRING PREPARED/PRESERVED,MEXICO,1415,10368
2023,01,HERRING ROE CURED,BARBADOS,242,4628
2023,01,HERRING ROE CURED,ESTONIA,128522,850028
